Age;Sexe;Nationalité(s);Quartier
37;M;IND;ROLLINGERGRUND/BELAIR-NORD
61;F;L;HOLLERICH
62;F;P;MERL
28;M;TJ;KIRCHBERG
36;F;USA;BONNEVOIE-SUD
58;F;F;BONNEVOIE-NORD/VERLORENKOST
35;M;L;BEGGEN
38;F;TJ;CENTS
35;M;I;LIMPERTSBERG
2;F;I;MERL
41;M;L;GRUND
64;F;L, BIH;GASPERICH
84;M;USA;MERL
41;M;NL;BEGGEN
44;M;F;BONNEVOIE-NORD/VERLORENKOST
29;M;B, PL;HOLLERICH
50;M;P;CENTS
69;M;L;BONNEVOIE-SUD
29;F;RUS;BELAIR
25;M;GB;LIMPERTSBERG
34;F;F;GASPERICH
41;M;B;BONNEVOIE-SUD
82;M;L;LIMPERTSBERG
54;M;F;BONNEVOIE-NORD/VERLORENKOST
63;M;P;ROLLINGERGRUND/BELAIR-NORD
32;M;I;BELAIR
10;F;IRL;BEGGEN
54;M;F;BELAIR
18;M;L;LIMPERTSBERG
51;F;P;MERL
48;F;A;BELAIR
82;F;D;ROLLINGERGRUND/BELAIR-NORD
43;M;GR;KIRCHBERG
60;F;F;BELAIR
11;F;F;BELAIR
31;M;GR;GARE
46;M;E;MERL
61;M;L, F;BELAIR
86;M;P;EICH
61;F;BR;GARE
54;F;F;BONNEVOIE-NORD/VERLORENKOST
64;F;IRL;HOLLERICH
55;F;P;BONNEVOIE-SUD
75;M;F;GARE
39;M;P;BONNEVOIE-SUD
62;F;P;CENTS
45;M;S;HAMM
36;M;I;CESSANGE
37;F;L, D;KIRCHBERG
37;M;IND;DOMMELDANGE
27;M;IRL;HOLLERICH
16;F;F;HOLLERICH
62;F;P;BONNEVOIE-SUD
72;F;B;KIRCHBERG
31;M;I;EICH
25;F;L, F, GR;GASPERICH
36;M;ERY;WEIMERSKIRCH
42;M;P;VILLE-HAUTE
41;M;F;GASPERICH
71;M;B;GRUND
33;M;L;MERL
57;M;L, I;GARE
43;F;F;BEGGEN
54;F;L;LIMPERTSBERG
27;M;F;LIMPERTSBERG
4;F;P;BONNEVOIE-SUD
75;F;L;BONNEVOIE-SUD
51;M;L, F;GARE
76;F;P;WEIMERSKIRCH
40;M;F;GASPERICH
13;F;E;LIMPERTSBERG
65;M;L;GASPERICH
14;F;R;MERL
39;F;F;BELAIR
48;M;F;MERL
26;F;F;GARE
38;M;F;GARE
66;F;I;LIMPERTSBERG
44;M;FIN;LIMPERTSBERG
91;F;F;HOLLERICH
12;F;L;BEGGEN
64;M;FIN;BEGGEN
58;F;P;GARE
59;M;IRQ;KIRCHBERG
61;F;L;LIMPERTSBERG
53;F;F;LIMPERTSBERG
84;F;L;KIRCHBERG
30;F;F;KIRCHBERG
3;M;F;BONNEVOIE-NORD/VERLORENKOST
33;M;D;BELAIR
22;F;L, I, F;LIMPERTSBERG
41;F;F;BELAIR
36;M;L, F;LIMPERTSBERG
4;F;D;BELAIR
62;M;P;ROLLINGERGRUND/BELAIR-NORD
28;F;L, P;CESSANGE
17;F;AL;MERL
42;F;CDN;GASPERICH
28;F;I, MOL;BONNEVOIE-SUD
47;M;F;VILLE-HAUTE
59;M;D;LIMPERTSBERG
51;M;F;LIMPERTSBERG
60;F;P;KIRCHBERG
76;M;L;LIMPERTSBERG
3;F;L, F, GR;MUEHLENBACH
13;M;USA;BELAIR
9;F;F;HOLLERICH
58;M;L, F;LIMPERTSBERG
15;M;L, PAK;CENTS
49;M;P;NEUDORF/WEIMERSHOF
42;M;I;MERL
50;F;I;BELAIR
7;F;L, EAT, SP;KIRCHBERG
53;M;I;LIMPERTSBERG
18;F;P;MERL
35;M;R;LIMPERTSBERG
14;M;FIN;LIMPERTSBERG
35;F;GU;KIRCHBERG
32;M;F;GARE
31;M;HRV;GARE
52;M;L;BELAIR
11;M;YV;LIMPERTSBERG
6;F;L;BELAIR
16;F;F;CESSANGE
